,0
0,102.25554
1,102.25554
2,150.86548
3,263.21445
4,263.21445
5,308.76358
6,308.76358
7,308.76358
8,323.6452
9,323.6452
10,324.07962
11,324.20554
12,324.20554
13,324.20554
14,324.20554
15,324.20554
16,324.20554
17,338.2986
18,338.33963
19,338.33963
20,338.33963
21,338.33963
22,338.33963
23,338.33963
24,338.33963
25,338.33963
26,338.33963
27,338.3499
28,338.3499
29,338.3499
30,338.3499
31,338.3499
32,338.3499
33,338.3499
34,338.3499
35,338.3499
36,338.3499
37,338.3499
38,338.3499
39,338.3499
40,338.3499
41,338.3499
42,338.3499
43,338.35632
44,338.35632
45,338.35632
46,338.35632
47,338.35632
48,338.3567
49,338.3567
50,338.3567
51,338.3567
52,338.3567
53,338.3567
54,338.3567
55,338.3567
56,338.3567
57,338.3567
58,338.3567
59,338.3567
60,338.3567
61,338.3567
62,338.3567
63,338.3567
64,338.3567
65,338.3567
66,338.3567
67,338.3567
68,338.3567
69,338.3567
70,338.3567
71,338.3567
72,338.3567
73,338.3567
74,338.3567
75,338.3567
76,338.3567
77,338.3567
78,338.3567
79,338.3567
80,338.3567
81,338.3567
82,338.3567
83,338.3567
84,338.3567
85,338.3567
86,338.3567
87,338.3567
88,338.3567
89,338.3567
90,338.3567
91,338.3567
92,338.3567
93,338.3567
94,338.3567
95,338.3567
96,338.3567
97,338.3567
98,338.3567
99,338.3567
